lib	unit	sample	fq1	fq2
lib5	1	211671	fastqs/lib5/211671_1.fq.gz	fastqs/lib5/211671_2.fq.gz
lib5	1	211647	fastqs/lib5/211647_1.fq.gz	fastqs/lib5/211647_2.fq.gz
lib5	1	211610	fastqs/lib5/211610_1.fq.gz	fastqs/lib5/211610_2.fq.gz
lib5	1	211621	fastqs/lib5/211621_1.fq.gz	fastqs/lib5/211621_2.fq.gz
lib5	1	211594	fastqs/lib5/211594_1.fq.gz	fastqs/lib5/211594_2.fq.gz
lib5	1	JME29AUG_11	fastqs/lib5/JME29AUG_11_1.fq.gz	fastqs/lib5/JME29AUG_11_2.fq.gz
lib5	1	JME29AUG_7	fastqs/lib5/JME29AUG_7_1.fq.gz	fastqs/lib5/JME29AUG_7_2.fq.gz
lib5	1	JME29AUG_9	fastqs/lib5/JME29AUG_9_1.fq.gz	fastqs/lib5/JME29AUG_9_2.fq.gz
lib5	1	211419	fastqs/lib5/211419_1.fq.gz	fastqs/lib5/211419_2.fq.gz
lib5	1	K16AUG17_01	fastqs/lib5/K16AUG17_01_1.fq.gz	fastqs/lib5/K16AUG17_01_2.fq.gz
lib5	1	KM11SEPT19_1X	fastqs/lib5/KM11SEPT19_1X_1.fq.gz	fastqs/lib5/KM11SEPT19_1X_2.fq.gz
lib5	1	KM11SEPT19_2X	fastqs/lib5/KM11SEPT19_2X_1.fq.gz	fastqs/lib5/KM11SEPT19_2X_2.fq.gz
lib5	1	16AUG22RAPR1BEAV	fastqs/lib5/16AUG22RAPR1BEAV_1.fq.gz	fastqs/lib5/16AUG22RAPR1BEAV_2.fq.gz
lib5	1	18AUG22BEAVRAPR10	fastqs/lib5/18AUG22BEAVRAPR10_1.fq.gz	fastqs/lib5/18AUG22BEAVRAPR10_2.fq.gz
lib5	1	18AUG22BEAVRAPR15	fastqs/lib5/18AUG22BEAVRAPR15_1.fq.gz	fastqs/lib5/18AUG22BEAVRAPR15_2.fq.gz
lib5	1	17AUG22CABINRAPR1	fastqs/lib5/17AUG22CABINRAPR1_1.fq.gz	fastqs/lib5/17AUG22CABINRAPR1_2.fq.gz
